model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.40301744572986475,124,55,10
filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.1590493153851247,111,29,25
tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.23034669133353886,111,36,27
filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.45616158323059436,124,67,17
filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.319178992706094,111,51,25
tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.24308775543037658,111,38,28
filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.41920691979001773,124,66,24
filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.31560640024970443,111,51,43
tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.24267726751988872,111,38,29
filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.3796858961621732,124,60,30
filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.3427348904315837,111,58,60
tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.42805779569892466,124,56,4
filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.19899847899847897,111,34,21
tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.23020809119493874,111,36,27
filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.42675451788355023,124,59,11
filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.37436357344608595,111,57,30
tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.24295042297597094,111,38,28
filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.4452839378248341,124,62,13
filternet,floor1,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.38878164808187066,111,63,52
tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.24253993506548308,111,38,29
filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.49524400729401735,124,69,22
filternet,floor1,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.4750453378419529,111,72,63
tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
tasknet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.4294443233625404,124,56,6
filternet,floor1,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.24150879465457478,111,36,21
tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
tasknet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.23020809119493874,111,36,27
filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.4997157200107535,124,67,10
filternet,floor1,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.4805906303646343,111,60,18
tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.24295042297597094,111,38,28
filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.45695816415630286,124,61,13
filternet,floor1,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.4447937191338514,111,67,37
tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.24253993506548308,111,38,29
filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5142996390183416,124,70,19
filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.5367444348578979,111,70,44
tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.08492009566327059,138,18,25
tasknet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3666750340559076,131,57,22
filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.0676328502415459,138,14,13
filternet,floor4,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.3553901419640082,131,56,14
tasknet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.4343169456651919,131,68,31
filternet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.11002979110922717,138,25,21
filternet,floor4,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.48434681694022935,131,73,21
tasknet,floor4,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.1643429071800139,138,34,26
filternet,floor4,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.5107738681947136,131,81,29
tasknet,floor4,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.25,100,0.5,0.75,0.5,0.38,0.5,0,0.13956130121699467,138,35,51
filternet,floor4,0.25,100,0.5,0.75,0.5,0.38,0.5,1,0.4673442081691567,131,86,85
tasknet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.08492009566327059,138,18,25
tasknet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.3666750340559076,131,57,22
filternet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,0,0.11288244766505634,138,16,2
filternet,floor4,0.5,10,0.5,0.75,0.5,0.38,0.5,1,0.4425723302057345,131,64,10
tasknet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.4343169456651919,131,68,31
filternet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,0,0.14536311766408289,138,22,10
filternet,floor4,0.5,30,0.5,0.75,0.5,0.38,0.5,1,0.5542752113694248,131,86,28
tasknet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,0,0.20166031671173962,138,32,15
filternet,floor4,0.5,50,0.5,0.75,0.5,0.38,0.5,1,0.5502538450245351,131,89,51
tasknet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,0,0.22191177625521083,138,46,43
filternet,floor4,0.5,100,0.5,0.75,0.5,0.38,0.5,1,0.5393254498122992,131,96,81
tasknet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.08492009566327059,138,18,25
tasknet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.3666750340559076,131,57,22
filternet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,0,0.09368970700408309,138,15,5
filternet,floor4,0.75,10,0.5,0.75,0.5,0.38,0.5,1,0.4435389745883631,131,68,15
tasknet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.4343169456651919,131,68,31
filternet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,0,0.12650103519668732,138,21,8
filternet,floor4,0.75,30,0.5,0.75,0.5,0.38,0.5,1,0.5682843252643137,131,86,29
tasknet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,0,0.24559218239617064,138,38,15
filternet,floor4,0.75,50,0.5,0.75,0.5,0.38,0.5,1,0.6559548188166077,131,96,28
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.31638349865240595,138,54,24
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.5957950981099078,131,96,72
tasknet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.14033209267584273,192,40,35
tasknet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.08837284790726607,135,26,76
filternet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.13374600804612,192,30,18
filternet,chemistry_floor0,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.13354574713754613,135,31,28
tasknet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.16609784590391524,192,48,46
tasknet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.0956401876715045,135,29,90
filternet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.1687634856389755,192,41,34
filternet,chemistry_floor0,0.25,30,0.5,0.75,0.5,0.38,0.5,1,0.22767178727852966,135,45,28
tasknet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,0,0.17302832494621315,192,50,46
tasknet,chemistry_floor0,0.25,50,0.5,0.75,0.5,0.38,0.5,1,0.09750257508450082,135,30,91
