relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
0,0,0,tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.38814021890649086,124,54,19
0,0,0,tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.15714220298026313,111,24,19
0,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.40573800155123146,124,57,24
0,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.16183439517245532,111,25,23
0,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.4058407978973924,124,57,22
0,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.16667923514084754,111,25,20
0,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.3919855228468675,124,61,26
0,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.12331994156318477,111,23,17
0,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.4010802872951763,124,61,24
0,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.12331994156318477,111,23,17
1,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.41594353112858606,124,53,12
1,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.21058359423129247,111,31,20
1,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.41594353112858606,124,53,10
1,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.21058359423129247,111,31,20
1,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.39631890399718567,124,55,12
1,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.1590493153851247,111,29,25
1,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,0.40301744572986475,124,55,10
1,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,0.1590493153851247,111,29,25
0,0,0,tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,0.436281643624923,124,62,28
