model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,AP,total_positives,TP,FP
tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.441484642461046,124,63,29
tasknet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.24253993506548308,111,38,29
filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.5559140943985643,124,79,21
filternet,floor1,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.5837416427066621,111,78,45
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.09673502599283497,138,22,32
tasknet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.44450110831798284,131,70,35
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.3005990573689724,138,56,35
filternet,floor4,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.6136549572364147,131,100,75
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.17302832494621315,192,50,46
tasknet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.09750257508450082,135,30,91
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.33082695866629225,192,83,50
filternet,chemistry_floor0,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.39335766223817364,135,75,81
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.6405571600946529,88,60,28
tasknet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.3146185959805047,155,58,29
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,0,0.7847989147052736,88,75,20
filternet,house_matteo,0.75,100,0.5,0.75,0.5,0.38,0.5,1,0.7194744870905663,155,123,60
