model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,54,14,0,1,4
tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,24,2,0,0,17
filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,55,6,0,0,4
filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,29,5,1,0,19
tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,62,20,0,1,7
tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,35,4,0,0,24
filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,67,10,0,0,7
filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,50,7,1,0,18
tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,25
filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,66,14,0,0,10
filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,50,13,4,0,27
tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,26
filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,60,9,1,0,20
filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,57,17,8,0,36
tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,54,14,0,1,4
tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,24,2,0,0,17
filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,56,3,0,0,1
filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,34,7,0,0,14
tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,62,20,0,1,7
tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,35,4,0,0,24
filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,59,4,0,0,7
filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,56,14,3,0,14
