relabeling,rescoring,suppression,model,house,quantity,boxes,iou_threshold_matching,confidence_threshold_tasknet,iou_threshold_tasknet,confidence_threshold_filternet,iou_threshold_filternet,label,total_positives,TP,FP,TPm,FPm,FPiou
0,0,0,tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,54,14,0,1,4
0,0,0,tasknet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,24,2,0,0,17
0,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,57,15,0,1,8
0,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,20
0,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,57,14,0,1,7
0,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,17
0,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,61,14,0,1,11
0,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,23,2,0,0,15
0,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,61,13,0,1,10
0,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,23,2,0,0,15
1,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,53,7,0,0,5
1,0,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,31,4,1,0,15
1,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,53,6,0,0,4
1,0,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,31,4,1,0,15
1,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,55,7,0,0,5
1,1,0,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,29,5,1,0,19
1,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,0,124,55,6,0,0,4
1,1,1,filternet,floor1,0.25,10,0.5,0.75,0.5,0.38,0.5,1,111,29,5,1,0,19
0,0,0,tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,62,20,0,1,7
0,0,0,tasknet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,35,4,0,0,24
0,0,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,67,23,0,1,14
0,0,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,38,5,0,0,36
0,0,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,65,23,0,1,10
0,0,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,38,4,0,0,20
0,1,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,73,28,0,1,16
0,1,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,38,4,0,0,23
0,1,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,73,28,0,1,15
0,1,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,38,4,0,0,23
1,0,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,62,10,0,0,4
1,0,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,47,7,0,0,14
1,0,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,62,10,0,0,4
1,0,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,47,6,0,0,14
1,1,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,67,10,0,0,7
1,1,0,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,50,7,1,0,18
1,1,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,0,124,67,10,0,0,7
1,1,1,filternet,floor1,0.25,30,0.5,0.75,0.5,0.38,0.5,1,111,50,7,1,0,18
0,0,0,tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,25
0,0,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,42
0,0,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,65,25,0,1,13
0,0,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,40,5,0,0,20
0,1,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,75,24,0,2,26
0,1,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,45,5,2,0,34
0,1,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,75,23,0,2,21
0,1,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,45,5,2,0,26
1,0,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,61,14,0,0,6
1,0,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,48,12,1,0,13
1,0,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,59,14,0,0,5
1,0,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,47,11,1,0,12
1,1,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,66,14,0,0,12
1,1,0,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,50,13,4,0,28
1,1,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,0,124,66,14,0,0,10
1,1,1,filternet,floor1,0.25,50,0.5,0.75,0.5,0.38,0.5,1,111,50,13,4,0,27
0,0,0,tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,63,20,0,1,8
0,0,0,tasknet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,37,4,0,0,26
0,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,69,25,0,1,20
0,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,42,5,0,0,43
0,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,66,25,0,1,12
0,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,42,4,0,0,24
0,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,76,26,1,6,47
0,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,49,5,7,0,49
0,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,76,26,1,6,43
0,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,49,5,7,0,46
1,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,55,7,0,0,4
1,0,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,52,15,1,0,13
1,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,53,7,0,0,4
1,0,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,52,15,1,0,13
1,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,60,9,1,0,23
1,1,0,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,57,17,8,0,37
1,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,0,124,60,9,1,0,20
1,1,1,filternet,floor1,0.25,100,0.5,0.75,0.5,0.38,0.5,1,111,57,17,8,0,36
0,0,0,tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,54,14,0,1,4
0,0,0,tasknet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,24,2,0,0,17
0,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,57,15,0,1,8
0,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,20
0,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,57,15,0,1,6
0,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,25,3,0,0,12
0,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,60,15,0,1,6
0,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,24,3,0,0,13
0,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,60,15,0,1,6
0,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,24,3,0,0,12
1,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,55,3,0,0,2
1,0,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,34,5,0,0,15
1,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,55,3,0,0,1
1,0,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,34,5,0,0,15
1,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,56,3,0,0,2
1,1,0,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,34,7,0,0,14
1,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,0,124,56,3,0,0,1
1,1,1,filternet,floor1,0.5,10,0.5,0.75,0.5,0.38,0.5,1,111,34,7,0,0,14
0,0,0,tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,62,20,0,1,7
0,0,0,tasknet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,35,4,0,0,24
0,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,0,124,67,23,0,1,14
0,0,0,filternet,floor1,0.5,30,0.5,0.75,0.5,0.38,0.5,1,111,38,5,0,0,36
