Env name,Exp,Label,AP,Positives,TP,FP,Increment
house1,1,-1,0.790639054427971,3630,3049,581,-
house1,1,0,0.54184059873715,27,19,29,-
house1,1,1,0.670977688259313,101,91,180,-
house1,2a,-1,0.886430700439166,3630,3298,332,12
house1,2a,0,0.659885895997007,27,19,11,22
house1,2a,1,0.763291860195101,101,89,118,14
house1,2b,-1,0.87419133110355,3630,3263,367,-1
house1,2b,0,0.658641975308642,27,19,9,0
house1,2b,1,0.776690557426987,101,90,100,2
house1,2c,-1,0.879099893654465,3630,3278,352,1
house1,2c,0,0.710758377425044,27,20,10,8
house1,2c,1,0.757707462259116,101,87,88,-2
house2,1,-1,0.819291384313834,5290,4561,729,
house2,1,0,0.224458627301613,30,20,114,
house2,1,1,0.549339020808446,155,101,121,
house2,2a,-1,0.786411055098548,5290,4487,803,-4
house2,2a,0,0.685674608025851,30,24,24,205
house2,2a,1,0.774393865568587,155,140,152,41
house2,2b,-1,0.830987767606982,5290,4647,643,6
house2,2b,0,0.807496324812666,30,26,16,18
house2,2b,1,0.820437972536593,155,142,104,6
house2,2c,-1,0.800630639176159,5290,4554,736,-4
house2,2c,0,0.808424908424909,30,25,15,0
house2,2c,1,0.869622721735549,155,147,109,6
house7,1,-1,0.753551059239636,2270,1849,421,
house7,1,0,0.307692307692308,13,6,37,
house7,1,1,0.661171557499618,120,108,228,
house7,2a,-1,0.783719901930959,2270,1886,384,4
house7,2a,0,0.378021978021978,13,6,5,23
house7,2a,1,0.733633559088568,120,111,207,11
house7,2b,-1,0.752656103219925,2270,1839,431,-4
house7,2b,0,0.419871794871795,13,7,6,11
house7,2b,1,0.773452769636466,120,113,209,5
house7,2c,-1,0.783006804167853,2270,1890,380,4
house7,2c,0,0.41025641025641,13,6,8,-2
house7,2c,1,0.758893982555987,120,112,175,-2
house9,1,-1,0.771986362305632,4100,3358,742,
house9,1,0,0.389022246383133,139,88,161,
house9,1,1,0.378628061545084,194,127,320,
house9,2a,-1,0.802867275008027,4100,3497,603,4
house9,2a,0,0.677623728214037,139,106,107,74
house9,2a,1,0.607227180580898,194,154,247,60
house9,2b,-1,0.788614050188599,4100,3450,650,-2
house9,2b,0,0.760452892507642,139,115,98,12
house9,2b,1,0.62766519521592,194,160,286,3
house9,2c,-1,0.777780519712983,4100,3414,686,-1
house9,2c,0,0.788309309766946,139,122,107,4
house9,2c,1,0.677383016082227,194,161,247,8
house10,1,-1,0.795395198234162,3080,2583,497,
house10,1,0,0.273407017680271,81,28,34,
house10,1,1,0.599776574759282,98,86,220,
house10,2a,-1,0.843682692310734,3080,2690,390,6
house10,2a,0,0.663583739239994,81,64,56,143
house10,2a,1,0.792080039983758,98,88,65,32
house10,2b,-1,0.858454534836579,3080,2726,354,2
house10,2b,0,0.77697093860842,81,70,47,17
house10,2b,1,0.77499278130561,98,87,70,-2
house10,2c,-1,0.888034918148442,3080,2784,296,3
house10,2c,0,0.759442563747223,81,70,47,-2
house10,2c,1,0.807104329391653,98,91,97,4
house13,1,-1,0.703050690954538,2300,1815,485,
house13,1,0,0.631987514206333,99,76,83,
house13,1,1,0.608032920708297,63,54,104,
house13,2a,-1,0.739813230423432,2300,1870,430,5
house13,2a,0,0.735946067042161,99,84,103,16
house13,2a,1,0.634287975565084,63,54,78,4
house13,2b,-1,0.778949245864673,2300,1942,358,5
house13,2b,0,0.829754390508545,99,89,59,13
house13,2b,1,0.656146458445904,63,56,72,3
house13,2c,-1,0.791760043398325,2300,1954,346,2
house13,2c,0,0.780112951679099,99,85,46,-6
house13,2c,1,0.745380616953694,63,59,76,14
house15,1,-1,0.802971167747768,4230,3614,616,
house15,1,0,0.449844081625131,56,43,102,
house15,1,1,0.507346713452768,237,173,250,
house15,2a,-1,0.792690666011803,4230,3562,668,-1
house15,2a,0,0.586488860684925,56,39,29,30
house15,2a,1,0.671133202166451,237,204,301,32
house15,2b,-1,0.814660879627757,4230,3634,596,3
house15,2b,0,0.692725468954431,56,50,66,18
house15,2b,1,0.684586709848481,237,207,243,2
house15,2c,-1,0.816259750896724,4230,3621,609,0
house15,2c,0,0.721484716555167,56,47,46,4
house15,2c,1,0.68078150969923,237,207,280,-1
house20,1,-1,0.688826247605931,3500,2696,804,
house20,1,0,0.270680343128663,62,23,40,
house20,1,1,0.646411928352976,105,91,202,
house20,2a,-1,0.813035271549828,3500,2989,511,18
house20,2a,0,0.568100761932928,62,41,44,110
house20,2a,1,0.672937076694913,105,91,137,4
house20,2b,-1,0.714141788031747,3500,2755,745,-12
house20,2b,0,0.642097707853736,62,50,64,13
house20,2b,1,0.700011810698397,105,94,131,4
house20,2c,-1,0.775779253438591,3500,2916,584,9
house20,2c,0,0.723325184244193,62,48,36,13
house20,2c,1,0.809241843746207,105,97,103,16
house21,1,-1,0.6964728147511,5510,4255,1255,
house21,1,0,0.430177831575378,85,50,59,
house21,1,1,0.653639271961213,287,244,445,
house21,2a,-1,0.809179695994116,5510,4693,817,16
house21,2a,0,0.589065840263029,85,61,47,37
house21,2a,1,0.693464192891901,287,246,326,6
house21,2b,-1,0.81445814081263,5510,4734,776,1
house21,2b,0,0.725527848068002,85,71,69,23
house21,2b,1,0.714004854951812,287,249,313,3
house21,2c,-1,0.825698861553353,5510,4762,748,1
house21,2c,0,0.823316095270493,85,75,57,13
house21,2c,1,0.782668189456458,287,265,331,10
house22,1,-1,0.778865012646086,5150,4302,848,
house22,1,0,0.444568917489619,80,52,85,
house22,1,1,0.583922108641791,228,179,324,
house22,2a,-1,0.718507206039691,5150,4100,1050,-8
house22,2a,0,0.609900029831859,80,60,70,37
house22,2a,1,0.647049854831757,228,186,344,11
house22,2b,-1,0.718253165307841,5150,4079,1071,0
house22,2b,0,0.6046160117936,80,56,66,-1
house22,2b,1,0.670878309813992,228,198,411,4
house22,2c,-1,0.689216543203895,5150,3982,1168,-4
house22,2c,0,0.698125604927809,80,64,67,15
house22,2c,1,0.70398553097442,228,200,424,5
