Env name,Exp,Label,AP,N. positives,TP,FP,Increment
house1,1,-1,0.762431892240603,3630,2973,657,-
house1,1,0,0.680181806609084,128,115,225,-
house1,2a,-1,0.875533079427301,3630,3269,361,15
house1,2a,0,0.728512845167079,128,109,113,7
house1,2b,-1,0.859023838682201,3630,3226,404,-2
house1,2b,0,0.77065749830887,128,112,103,6
house1,2c,-1,0.859198747808523,3630,3227,403,0
house1,2c,0,0.781760932030339,128,113,99,1
house2,1,-1,0.809231942624794,5290,4528,762,
house2,1,0,0.549949720313895,185,149,188,
house2,2a,-1,0.784500050665528,5290,4487,803,-3
house2,2a,0,0.806894416043767,185,169,173,47
house2,2b,-1,0.820351014274001,5290,4623,667,5
house2,2b,0,0.863154461665538,185,174,121,7
house2,2c,-1,0.800787467121695,5290,4560,730,-2
house2,2c,0,0.879975559496092,185,174,116,2
house7,1,-1,0.726144705384649,2270,1800,470,
house7,1,0,0.604386837175644,133,115,269,
house7,2a,-1,0.767899026312489,2270,1870,400,6
house7,2a,0,0.717807796997287,133,123,207,19
house7,2b,-1,0.741173998181298,2270,1825,445,-3
house7,2b,0,0.702645638337258,133,122,231,-2
house7,2c,-1,0.769519930949724,2270,1871,399,4
house7,2c,0,0.763537391872122,133,125,187,9
house9,1,-1,0.755562985360229,4100,3325,775,
house9,1,0,0.499116090087312,333,257,436,
house9,2a,-1,0.79282402110597,4100,3470,630,5
house9,2a,0,0.725893403035496,333,297,328,45
house9,2b,-1,0.791530502621159,4100,3457,643,0
house9,2b,0,0.738161315338051,333,302,342,2
house9,2c,-1,0.78487660562118,4100,3437,663,-1
house9,2c,0,0.770386356813355,333,301,329,4
house10,1,-1,0.787101403495457,3080,2570,510,
house10,1,0,0.590611620750944,179,146,205,
house10,2a,-1,0.834704064860966,3080,2672,408,6
house10,2a,0,0.749297537943384,179,158,128,27
house10,2b,-1,0.845525799278504,3080,2696,384,1
house10,2b,0,0.819396179734649,179,163,107,9
house10,2c,-1,0.872255857903156,3080,2749,331,3
house10,2c,0,0.801134776520764,179,161,136,-2
house13,1,-1,0.683431229691663,2300,1780,520,
house13,1,0,0.698730218930479,162,146,184,
house13,2a,-1,0.740066185757145,2300,1865,435,8
house13,2a,0,0.742872924417556,162,143,172,6
house13,2b,-1,0.758239223151874,2300,1908,392,2
house13,2b,0,0.840509860136082,162,152,126,13
house13,2c,-1,0.786361922763297,2300,1946,354,4
house13,2c,0,0.810695947797374,162,149,127,-4
house15,1,-1,0.783158051848492,4230,3561,669,
house15,1,0,0.577906756060402,293,240,347,
house15,2a,-1,0.772848530294409,4230,3513,717,-1
house15,2a,0,0.650542379581547,293,251,329,13
house15,2b,-1,0.786576488546021,4230,3561,669,2
house15,2b,0,0.663126867772228,293,253,329,2
house15,2c,-1,0.795150619478308,4230,3571,659,1
house15,2c,0,0.699353215782446,293,260,364,5
house20,1,-1,0.657092145825709,3500,2609,891,
house20,1,0,0.634613300968742,167,144,217,
house20,2a,-1,0.807532862797274,3500,2977,523,23
house20,2a,0,0.666369730488637,167,137,164,5
house20,2b,-1,0.697675481453918,3500,2715,785,-14
house20,2b,0,0.689470137121477,167,149,192,3
house20,2c,-1,0.760106305482325,3500,2880,620,9
house20,2c,0,0.788265654681091,167,150,129,14
house21,1,-1,0.682104262534036,5510,4215,1295,
house21,1,0,0.663885057167605,372,314,485,
house21,2a,-1,0.797783610295438,5510,4661,849,17
house21,2a,0,0.700858043858591,372,317,381,6
house21,2b,-1,0.800761262995792,5510,4677,833,0
house21,2b,0,0.754962254081655,372,330,349,8
house21,2c,-1,0.803311529525664,5510,4669,841,0
house21,2c,0,0.809710880395476,372,339,399,7
house22,1,-1,0.764366232193853,5150,4256,894,
house22,1,0,0.615680455095356,308,254,396,
house22,2a,-1,0.720583779553717,5150,4099,1051,-6
house22,2a,0,0.663383628711976,308,256,413,8
house22,2b,-1,0.71231499134892,5150,4061,1089,-1
house22,2b,0,0.680428576692139,308,265,455,3
house22,2c,-1,0.685390687738603,5150,3969,1181,-4
house22,2c,0,0.737302264490394,308,279,462,8
