Env name,Exp,Label,AP,Positives,TP,FP,Increment
house1,1,-1,0.7624318922,3630,2973,657,-
house1,1,0,0.6801818066,128,115,225,-
house1,2a,-1,0.8755330794,3630,3269,361,15
house1,2a,0,0.7285128452,128,109,113,7
house1,2b,-1,0.8590238387,3630,3226,404,-2
house1,2b,0,0.7706574983,128,112,103,6
house1,2c,-1,0.8591987478,3630,3227,403,0
house1,2c,0,0.781760932,128,113,99,1
house2,1,-1,0.8092319426,5290,4528,762,
house2,1,0,0.5499497203,185,149,188,
house2,2a,-1,0.7845000507,5290,4487,803,-3
house2,2a,0,0.806894416,185,169,173
house2,2b,-1,0.8203510143,5290,4623,667,5
house2,2b,0,0.8631544617,185,174,121,36
house2,2c,-1,0.8007874671,5290,4560,730,-2
house2,2c,0,0.8799755595,185,174,116,2
house7,1,-1,0.7261447054,2270,1800,470,
house7,1,0,0.6043868372,133,115,269,
house7,2a,-1,0.7678990263,2270,1870,400,6
house7,2a,0,0.717807797,133,123,207,19
house7,2b,-1,0.7411739982,2270,1825,445,-3
house7,2b,0,0.7026456383,133,122,231,-2
house7,2c,-1,0.7695199309,2270,1871,399,4
house7,2c,0,0.7635373919,133,125,187,9
house9,1,-1,0.7555629854,4100,3325,775,
house9,1,0,0.4991160901,333,257,436,
house9,2a,-1,0.7928240211,4100,3470,630,5
house9,2a,0,0.725893403,333,297,328,45
house9,2b,-1,0.7915305026,4100,3457,643,0
house9,2b,0,0.7381613153,333,302,342,2
house9,2c,-1,0.7848766056,4100,3437,663,-1
house9,2c,0,0.7703863568,333,301,329,4
house10,1,-1,0.7871014035,3080,2570,510,
house10,1,0,0.5906116208,179,146,205,
house10,2a,-1,0.8347040649,3080,2672,408,6
house10,2a,0,0.7492975379,179,158,128,27
house10,2b,-1,0.8455257993,3080,2696,384,1
house10,2b,0,0.8193961797,179,163,107,9
house10,2c,-1,0.8722558579,3080,2749,331,3
house10,2c,0,0.8011347765,179,161,136,-2
house13,1,-1,0.6834312297,2300,1780,520,
house13,1,0,0.6987302189,162,146,184,
house13,2a,-1,0.7400661858,2300,1865,435,8
house13,2a,0,0.7428729244,162,143,172,6
house13,2b,-1,0.7582392232,2300,1908,392,2
house13,2b,0,0.8405098601,162,152,126,13
house13,2c,-1,0.7863619228,2300,1946,354,4
house13,2c,0,0.8106959478,162,149,127,-4
house15,1,-1,0.7831580518,4230,3561,669,
house15,1,0,0.5779067561,293,240,347,
house15,2a,-1,0.7728485303,4230,3513,717,-1
house15,2a,0,0.6505423796,293,251,329,13
house15,2b,-1,0.7865764885,4230,3561,669,2
house15,2b,0,0.6631268678,293,253,329,2
house15,2c,-1,0.7951506195,4230,3571,659,1
house15,2c,0,0.6993532158,293,260,364,5
house20,1,-1,0.6570921458,3500,2609,891,
house20,1,0,0.634613301,167,144,217,
house20,2a,-1,0.8075328628,3500,2977,523,23
house20,2a,0,0.6663697305,167,137,164,5
house20,2b,-1,0.6976754815,3500,2715,785,-14
house20,2b,0,0.6894701371,167,149,192,3
house20,2c,-1,0.7601063055,3500,2880,620,9
house20,2c,0,0.7882656547,167,150,129,14
house21,1,-1,0.6821042625,5510,4215,1295,
house21,1,0,0.6638850572,372,314,485,
house21,2a,-1,0.7977836103,5510,4661,849,17
house21,2a,0,0.7008580439,372,317,381,6
house21,2b,-1,0.800761263,5510,4677,833,0
house21,2b,0,0.7549622541,372,330,349,8
house21,2c,-1,0.8033115295,5510,4669,841,0
house21,2c,0,0.8097108804,372,339,399,7
house22,1,-1,0.7643662322,5150,4256,894,
house22,1,0,0.6156804551,308,254,396,
house22,2a,-1,0.7205837796,5150,4099,1051,-6
house22,2a,0,0.6633836287,308,256,413,8
house22,2b,-1,0.7123149913,5150,4061,1089,-1
house22,2b,0,0.6804285767,308,265,455,3
house22,2c,-1,0.6853906877,5150,3969,1181,-4
house22,2c,0,0.7373022645,308,279,462,8
