Env name,Exp,Label,AP,Positives,TP,FP,Increment
house1,1,-1,"0,7624318922",3630,2973,657,-
house1,1,0,"0,5536115235",27,20,38,-
house1,1,1,"0,6360853225",101,84,198,-
house1,2a,-1,"0,8755330794",3630,3269,361,15
house1,2a,0,"0,6552983767",27,18,5,18
house1,2a,1,"0,7140999166",101,86,113,12
house1,2b,-1,"0,8590238387",3630,3226,404,-2
house1,2b,0,"0,7",27,19,3,7
house1,2b,1,"0,7583332094",101,90,103,6
house1,2c,-1,"0,8591987478",3630,3227,403,0
house1,2c,0,"0,6937321937",27,19,8,-1
house1,2c,1,"0,764251642",101,90,95,1
house2,1,-1,"0,8092319426",5290,4528,762,
house2,1,0,"0,2143038769",30,18,98,
house2,1,1,"0,630961102",155,114,107,
house2,2a,-1,"0,7845000507",5290,4487,803,-3
house2,2a,0,"0,6348835891",30,22,27,196
house2,2a,1,"0,7891263116",155,139,154,25
house2,2b,-1,"0,8203510143",5290,4623,667,5
house2,2b,0,"0,8014343042",30,26,17,26
house2,2b,1,"0,8487038222",155,145,107,8
house2,2c,-1,"0,8007874671",5290,4560,730,-2
house2,2c,0,"0,7438573232",30,23,13,-7
house2,2c,1,"0,8781325507",155,148,106,3
house7,1,-1,"0,7261447054",2270,1800,470,
house7,1,0,"0,3053254438",13,6,31,
house7,1,1,"0,6216722133",120,105,242,
house7,2a,-1,"0,7678990263",2270,1870,400,6
house7,2a,0,"0,3570512821",13,6,4,17
house7,2a,1,"0,7356533891",120,112,208,18
house7,2b,-1,"0,7411739982",2270,1825,445,-3
house7,2b,0,"0,4335664336",13,7,6,21
house7,2b,1,"0,7194456255",120,111,229,-2
house7,2c,-1,"0,7695199309",2270,1871,399,4
house7,2c,0,"0,441025641",13,7,11,2
house7,2c,1,"0,7719165895",120,114,180,7
house9,1,-1,"0,7555629854",4100,3325,775,
house9,1,0,"0,3690693255",139,82,134,
house9,1,1,"0,4110387402",194,135,342,
house9,2a,-1,"0,7928240211",4100,3470,630,5
house9,2a,0,"0,6865523651",139,107,96,86
house9,2a,1,"0,5949360508",194,156,266,45
house9,2b,-1,"0,7915305026",4100,3457,643,0
house9,2b,0,"0,7584134901",139,116,81,10
house9,2b,1,"0,6471556547",194,167,280,9
house9,2c,-1,"0,7848766056",4100,3437,663,-1
house9,2c,0,"0,7646943422",139,120,94,1
house9,2c,1,"0,7137267672",194,170,246,10
house10,1,-1,"0,7871014035",3080,2570,510,
house10,1,0,"0,2803120616",81,29,29,
house10,1,1,"0,6460787429",98,87,206,
house10,2a,-1,"0,8347040649",3080,2672,408,6
house10,2a,0,"0,6674322189",81,65,65,138
house10,2a,1,"0,8063176994",98,88,68,25
house10,2b,-1,"0,8455257993",3080,2696,384,1
house10,2b,0,"0,831157437",81,74,42,25
house10,2b,1,"0,7806486912",98,86,68,-3
house10,2c,-1,"0,8722558579",3080,2749,331,3
house10,2c,0,"0,770430256",81,69,50,-7
house10,2c,1,"0,8279528295",98,91,87,6
house13,1,-1,"0,6834312297",2300,1780,520,
house13,1,0,"0,656801153",99,81,85,
house13,1,1,"0,6393400985",63,56,108,
house13,2a,-1,"0,7400661858",2300,1865,435,8
house13,2a,0,"0,739576642",99,84,100,13
house13,2a,1,"0,6664555921",63,55,76,4
house13,2b,-1,"0,7582392232",2300,1908,392,2
house13,2b,0,"0,8429173977",99,90,61,14
house13,2b,1,"0,7558632945",63,59,68,13
house13,2c,-1,"0,7863619228",2300,1946,354,4
house13,2c,0,"0,8296198753",99,89,51,-2
house13,2c,1,"0,7269839345",63,57,79,-4
house15,1,-1,"0,7831580518",4230,3561,669,
house15,1,0,"0,4911914029",56,45,90,
house15,1,1,"0,515437085",237,177,275,
house15,2a,-1,"0,7728485303",4230,3513,717,-1
house15,2a,0,"0,5214297551",56,36,30,6
house15,2a,1,"0,6427364818",237,205,309,25
house15,2b,-1,"0,7865764885",4230,3561,669,2
house15,2b,0,"0,6066604879",56,45,61,16
house15,2b,1,"0,6696922064",237,203,273,4
house15,2c,-1,"0,7951506195",4230,3571,659,1
house15,2c,0,"0,7212811702",56,47,62,19
house15,2c,1,"0,6707602742",237,209,306,0
house20,1,-1,"0,6570921458",3500,2609,891,
house20,1,0,"0,2084194084",62,18,40,
house20,1,1,"0,679250767",105,97,206,
house20,2a,-1,"0,8075328628",3500,2977,523,23
house20,2a,0,"0,5570419002",62,41,47,167
house20,2a,1,"0,6941718014",105,89,124,2
house20,2b,-1,"0,6976754815",3500,2715,785,-14
house20,2b,0,"0,5936121694",62,46,64,7
house20,2b,1,"0,7094185823",105,95,136,2
house20,2c,-1,"0,7601063055",3500,2880,620,9
house20,2c,0,"0,6977516272",62,47,31,18
house20,2c,1,"0,8078631723",105,98,103,14
house21,1,-1,"0,6821042625",5510,4215,1295,
house21,1,0,"0,3984404714",85,46,60,
house21,1,1,"0,6715344677",287,247,446,
house21,2a,-1,"0,7977836103",5510,4661,849,17
house21,2a,0,"0,6445209066",85,65,47,62
house21,2a,1,"0,6722323067",287,243,343,0
house21,2b,-1,"0,800761263",5510,4677,833,0
house21,2b,0,"0,71490229",85,71,65,11
house21,2b,1,"0,7240155807",287,251,292,8
house21,2c,-1,"0,8033115295",5510,4669,841,0
house21,2c,0,"0,8361422091",85,76,52,17
house21,2c,1,"0,7713924155",287,256,354,7
house22,1,-1,"0,7643662322",5150,4256,894,
house22,1,0,"0,4217282194",80,49,87,
house22,1,1,"0,6137394777",228,182,332,
house22,2a,-1,"0,7205837796",5150,4099,1051,-6
house22,2a,0,"0,6425117924",80,62,73,52
